1000	12.579361915588379 -20.56047248840332 -21.133068084716797 3.138185739517212 -3.8690803050994873 -7.991004943847656 -5.579275131225586 16.337800979614258 -15.113630294799805 26.910646438598633 47.93775177001953 -7.903775215148926 28.083242416381836 57.118858337402344 31.501708984375 19.80491828918457 -10.888233184814453 -20.504779815673828 7.483133316040039 -12.40850830078125 59.31895446777344 -26.031723022460938 25.336904525756836 -54.0911979675293 -10.184896469116211 -0.10064958781003952 4.252142429351807 -5.994932174682617 -10.946659088134766 25.688169479370117 -23.76145362854004 -29.602540969848633
10000	-0.0016020478215068579 0.004287491552531719 0.0024836985394358635 -0.00028910167748108506 0.0016415889840573072 0.0012704776600003242 0.0003500423044897616 -0.0020123047288507223 0.0034498320892453194 -0.0039674523286521435 -0.006783716846257448 0.0016449143877252936 -0.005358664318919182 -0.009884870611131191 -0.006635360419750214 -0.0035601030103862286 0.001150810974650085 0.004713879898190498 -0.0008750181877985597 0.002370113041251898 -0.009619343094527721 0.0044844429939985275 -0.0036809619050472975 0.008482048287987709 0.0011557943653315306 0.0013214508071541786 -0.0011294621508568525 -0.000663887825794518 0.0018786800792440772 -0.0029181623831391335 0.0029597259126603603 0.006102351006120443
10002	0.014111246913671494 -0.005594627931714058 0.07109072804450989 -0.00010158664372283965 -0.0565621480345726 0.09463301301002502 -0.05552375689148903 -0.005551501177251339 -0.05442427843809128 -0.050166450440883636 0.040661800652742386 0.06286387145519257 0.09135524183511734 0.06278524547815323 0.01639397069811821 0.034228477627038956 0.09567204117774963 0.04938338324427605 -0.12116049975156784 -0.0057963109575212 -0.11638381332159042 0.04218444973230362 -0.00854742806404829 -0.05902237817645073 0.06906130909919739 -0.04097868129611015 -0.06020493805408478 0.04236379265785217 -0.02320757694542408 -0.14474324882030487 0.033270739018917084 -0.04776998981833458
10004	-0.0037267233710736036 0.008044492453336716 0.0032597624231129885 -0.003910072613507509 0.005206040106713772 -0.001374575775116682 0.0024915863759815693 -0.007476040627807379 0.006721701472997665 -0.005995064042508602 -0.012865619733929634 -0.0003705024719238281 -0.006287359166890383 -0.01785781793296337 -0.011170484125614166 -0.008318103849887848 -0.0014516421360895038 0.01087295450270176 -0.0022667350713163614 0.0037798406556248665 -0.016295868903398514 0.005762320477515459 -0.009799167513847351 0.015222927555441856 0.0008576549589633942 0.005083533003926277 0.001214895979501307 0.0025582085363566875 0.007032528519630432 -0.003455515019595623 0.006356090307235718 0.01275971531867981
10022	-0.00297634513117373 0.00796546507626772 0.004614309407770634 -0.0005371040897443891 0.003049806458875537 0.002360341604799032 0.0006503219483420253 -0.00373853649944067 0.006409229710698128 -0.007370884530246258 -0.01260304730385542 0.0030559846200048923 -0.009955531917512417 -0.01836448907852173 -0.012327424250543118 -0.0066140941344201565 0.002138020470738411 0.008757625706493855 -0.00162564218044281 0.0044032856822013855 -0.017871182411909103 0.008331368677318096 -0.006838630884885788 0.015758272260427475 0.0021472785156220198 0.0024550417438149452 -0.0020983575377613306 -0.0012333961203694344 0.0034902833867818117 -0.005421473644673824 0.005498691461980343 0.011337180621922016
10024	-0.004220051225274801 0.011293940246105194 0.00654246099293232 -0.0007615401991643012 0.0043242089450359344 0.0033466420136392117 0.0009220675565302372 -0.005300733260810375 0.009087411686778069 -0.010450907051563263 -0.01786939799785614 0.004332968965172768 -0.014115583151578903 -0.026038333773612976 -0.01747860386967659 -0.00937788188457489 0.003031420987099409 0.01241711713373661 -0.0023049383889883757 0.006243257783353329 -0.02533889375627041 0.011812742799520493 -0.009696245193481445 0.022343074902892113 0.003044547513127327 0.003480913583189249 -0.0029751842375844717 -0.0017487872391939163 0.0049487450160086155 -0.007686908356845379 0.007796392776072025 0.016074571758508682
10026	-0.0015533289406448603 0.004157107323408127 0.002408168511465192 -0.0002803100214805454 0.001591667765751481 0.0012318419758230448 0.0003393974038772285 -0.0019511098507791758 0.003344921628013253 -0.00384680088609457 -0.00657742191106081 0.0015948920045047998 -0.005195705685764551 -0.009584268555045128 -0.006433576811105013 -0.003451838856562972 0.0011158144334331155 0.004570529330521822 -0.000848408613819629 0.0022980368230491877 -0.009326815605163574 0.00434806989505887 -0.0035690225195139647 0.008224106393754482 0.0011206461349502206 0.0012812650529667735 -0.00109511474147439 -0.0006436987896449864 0.0018215487943962216 -0.0028294201474636793 0.0028697196394205093 0.005916777066886425
10039	-0.026014264672994614 -0.007755761966109276 0.022152159363031387 -0.014154242351651192 0.020311111584305763 -0.018229741603136063 0.010920112952589989 -0.015687355771660805 -0.005706611089408398 -0.011700209230184555 -0.013867484405636787 0.0006735172355547547 -0.004250224679708481 -0.03129148483276367 -0.0060904789716005325 -0.0078885518014431 0.014470475725829601 0.006276511587202549 0.0049741980619728565 -0.005433622747659683 -0.011915815994143486 0.024638928472995758 -0.03002913109958172 0.026179926469922066 -0.00013100996147841215 0.003960791975259781 -0.005771641619503498 0.0025978258345276117 0.016399139538407326 -0.029668418690562248 0.0030298507772386074 0.010788639076054096
10041	-0.01503930613398552 0.0402490496635437 0.023315850645303726 -0.002713956870138645 0.015410501509904861 0.011926674284040928 0.003286039922386408 -0.018890613690018654 0.03238547593355179 -0.03724466636776924 -0.06368248909711838 0.015441719442605972 -0.05030474066734314 -0.09279473125934601 -0.06228978559374809 -0.03342064842581749 0.01080329716205597 0.04425179213285446 -0.00821427907794714 0.022249557077884674 -0.09030207991600037 0.04209794104099274 -0.03455521911382675 0.07962565869092941 0.010850077494978905 0.01240518782287836 -0.01060288306325674 -0.006232281215488911 0.01763620600104332 -0.027394399046897888 0.027784578502178192 0.05728613957762718
10055	3.7300217151641846 -6.091888427734375 -6.266942501068115 0.9308428168296814 -1.1440311670303345 -2.3687760829925537 -1.6553738117218018 4.844663143157959 -4.477199554443359 7.978005409240723 14.212557792663574 -2.341829299926758 8.322216987609863 16.929508209228516 9.33349609375 5.86962366104126 -3.229231595993042 -6.074158668518066 2.219111442565918 -3.6771433353424072 17.583412170410156 -7.715622901916504 7.511602401733398 -16.034605026245117 -3.020413637161255 -0.026170670986175537 1.2591913938522339 -1.781619668006897 -3.2445342540740967 7.6180267333984375 -7.0459136962890625 -8.771174430847168
