1007	51.262516021728516 31.638593673706055 -70.94612884521484 0.670020580291748 12.037864685058594 -41.80261993408203 -64.64873504638672 -73.58460235595703 125.01639556884766 -118.79801940917969 -83.12725830078125 -49.077945709228516 26.028898239135742 -36.79527282714844 -58.112823486328125 42.08934020996094 31.748920440673828 32.35302734375 -55.44960021972656 59.04600524902344 66.26969146728516 35.60813522338867 76.85063171386719 106.6481704711914 118.32965850830078 -49.7199592590332 -60.25091552734375 58.85453414916992 -64.90408325195312 18.016298294067383 30.810707092285156 96.61639404296875
1008	48.753692626953125 -0.8714139461517334 -77.41468811035156 14.755716323852539 -0.7083296775817871 -28.018892288208008 -65.16316223144531 -37.19709396362305 85.37100219726562 -89.87623596191406 -77.20333862304688 -19.759479522705078 21.904586791992188 -5.9638895988464355 -53.03512191772461 27.480857849121094 20.30112075805664 3.5946710109710693 -47.146324157714844 30.111980438232422 27.929367065429688 44.34984588623047 88.5129165649414 69.47341918945312 72.66673278808594 -24.434490203857422 -48.285804748535156 50.18701934814453 -57.27225112915039 18.838186264038086 4.419737815856934 49.228126525878906
1009	52.8036994934082 -0.14124161005020142 -82.0321273803711 15.06020736694336 -1.445583462715149 -30.37748146057129 -68.97672271728516 -40.47783660888672 91.83415985107422 -96.58624267578125 -82.73027038574219 -20.360645294189453 22.735244750976562 -5.763262748718262 -56.828330993652344 28.686405181884766 21.068078994750977 3.2162482738494873 -49.64894104003906 32.9276123046875 29.398183822631836 46.598968505859375 93.8243408203125 74.72669982910156 78.20230102539062 -25.397857666015625 -52.22296905517578 52.7564811706543 -61.715728759765625 20.35638427734375 4.241400718688965 53.30812072753906
101	23.17372703552246 -2.1124985218048096 -40.979949951171875 9.37618350982666 1.5117231607437134 -13.25732135772705 -34.78800964355469 -16.927963256835938 40.942535400390625 -43.17631912231445 -38.24607467651367 -11.58743667602539 13.08912467956543 -4.589247703552246 -26.755006790161133 15.81863784790039 12.20978832244873 3.646648645401001 -25.7596435546875 13.600107192993164 14.817228317260742 24.19091033935547 46.222476959228516 32.5858039855957 34.294952392578125 -14.132752418518066 -22.862878799438477 26.70775032043457 -27.239351272583008 8.792468070983887 3.471532106399536 22.9133243560791
1010	47.73872756958008 -1.3703007698059082 -77.13551330566406 15.208005905151367 -0.09020549058914185 -27.434539794921875 -65.01303100585938 -36.16576385498047 83.65353393554688 -88.07173919677734 -76.056640625 -20.03168296813965 22.312143325805664 -6.397449493408203 -52.437686920166016 27.786521911621094 20.70747947692871 4.142324447631836 -47.227394104003906 29.26522445678711 27.809297561645508 44.40966033935547 87.96418762207031 67.79621887207031 71.01847839355469 -24.7282772064209 -47.25520324707031 50.00175476074219 -56.044254302978516 18.392526626586914 4.766739845275879 48.025604248046875
1011	107.4107666015625 -3.307978868484497 -173.66920471191406 34.07582092285156 -0.4135580062866211 -61.67527770996094 -146.30218505859375 -81.64248657226562 189.2327117919922 -199.39004516601562 -171.64309692382812 -45.3323860168457 49.93182373046875 -14.325124740600586 -117.88662719726562 62.37677764892578 46.27704620361328 9.058210372924805 -106.29207611083984 65.80023956298828 63.02111053466797 100.1859130859375 198.54730224609375 154.05294799804688 161.0442657470703 -55.66014099121094 -106.52357482910156 113.36940002441406 -126.76315307617188 41.60044860839844 10.66690444946289 108.50467681884766
1012	31.45676040649414 -10.561053276062012 -55.43557357788086 5.490074634552002 -6.269631385803223 -12.939287185668945 -47.07777786254883 -25.876174926757812 69.90193176269531 -76.23492431640625 -58.73564147949219 -16.61418914794922 11.69272232055664 -0.6717755794525146 -24.0667724609375 20.922592163085938 5.7436723709106445 -3.725442886352539 -34.745567321777344 13.143292427062988 21.80665397644043 36.6041259765625 70.60952758789062 68.13005828857422 65.93341064453125 -22.202926635742188 -35.40827178955078 50.19145965576172 -50.49589538574219 12.18264102935791 -4.437841415405273 38.211402893066406
1013	45.9234504699707 -1.1712511777877808 -73.73880004882812 14.332884788513184 -0.33949705958366394 -26.37917137145996 -62.11152648925781 -34.92782211303711 80.61581420898438 -84.901611328125 -73.08369445800781 -19.066162109375 21.109407424926758 -5.943075180053711 -50.24284362792969 26.392301559448242 19.570959091186523 3.7201642990112305 -45.054046630859375 28.22307777404785 26.659910202026367 42.407470703125 84.25299072265625 65.54959106445312 68.56744384765625 -23.50163459777832 -45.496334075927734 47.93141174316406 -54.035213470458984 17.745107650756836 4.417853355407715 46.33586120605469
1014	75.29718780517578 -1.9343390464782715 -120.85799407958984 23.44491195678711 -0.5917295217514038 -43.29386901855469 -101.79838562011719 -57.30463409423828 132.2034454345703 -139.25314331054688 -119.86064147949219 -31.207836151123047 34.572410583496094 -9.722800254821777 -82.39420318603516 43.25942611694336 32.068477630615234 6.030815124511719 -73.84164428710938 46.32572555541992 43.64320373535156 69.48986053466797 138.0916290283203 107.55166625976562 112.4867935180664 -38.517364501953125 -74.64372253417969 78.55903625488281 -88.65081787109375 29.085676193237305 7.220282077789307 76.01823425292969
1015	21.853614807128906 0.13267986476421356 -33.65190505981445 6.173076629638672 -0.6003067493438721 -12.581509590148926 -28.332149505615234 -16.662921905517578 37.483726501464844 -39.35160827636719 -33.90205764770508 -8.176504135131836 9.399728775024414 -2.328258514404297 -23.470109939575195 11.799955368041992 8.73785400390625 1.3651496171951294 -20.34963607788086 13.683914184570312 11.863801002502441 18.97242546081543 38.278953552246094 30.211210250854492 31.741531372070312 -10.35850715637207 -21.5009822845459 21.24744415283203 -25.216663360595703 8.312976837158203 1.7090973854064941 21.86465072631836
